English,Vietnamese
0,không
1,một
10,mười
11,mười một
12,mười hai
13,mười ba
14,mười bốn
15,mười năm
16,mười sáu
17,mười bảy
18,mười tám
19,mười chín
2,hai
20,hai mươi
3,ba
4,bốn
5,năm
6,sáu
7,bảy
8,tám
9,chín
all,tất cả
and,và
bad,xấu
beautiful,xinh đẹp
because,bởi vì
big,lớn
but,nhưng
correct,chính xác
Do you love me?,Bạn có yêu tôi không?
don't worry,đừng lo
few,ít
good day,chúc ngày tốt lành
good,tốt
happy,hạnh phúc
he,anh ấy
hello,xin chào
here,đây
hi,chào
how,làm sao
how many?,bao nhiêu?
How much is this?,Cái này giá bao nhiêu?
how much?,bao nhiêu?
I don't know,Tôi không biết
I don't like this,Tôi không thích cái này
I,tôi
I know,Tôi biết
I like you,Tôi thích bạn
I love you,Tôi yêu bạn
I need this,Tôi cần cái này
if,nếu
it,nó
left,trái
long,dài
many,nhiều
new,mới
not,không
of course,tất nhiên
ok,được
old,cũ
old,già
or,hoặc
really,thật sự
right,phải
see you later,hẹn gặp lại
she,cô ấy
short,ngắn
small,nhỏ
take care,bảo trọng nhé
that,đó
then,sau đó
there,đó
they,họ
this,này
to call,gọi
to come,đến
to find,tìm
to give,cho
to help,giúp đỡ
to know,biết
to like,thích
to listen,nghe
to love,yêu
to put,đặt
to take,lấy
to talk,nói chuyện
to think,nghĩ
to wait,chờ đợi
to work,làm việc
we,chúng tôi / chúng ta
what,cái gì
when,lúc nào
where,ở đâu
which,cái nào
who,ai
why,tại sao
wrong,sai
you,bạn
you,các bạn
young,trẻ
